iter	Logloss
0	0.6675406656
1	0.6410139959
2	0.6179097814
3	0.5984988236
4	0.5810241828
5	0.5673519687
6	0.5555432243
7	0.5418088197
8	0.5313125736
9	0.5217059919
10	0.5132609366
11	0.5035945191
12	0.4975750976
13	0.4912612044
14	0.4845675416
15	0.4794507543
16	0.4727014719
17	0.4682260041
18	0.4620017956
19	0.4546527142
20	0.4502949314
21	0.4467320397
22	0.4423951389
23	0.4394820657
24	0.4368687876
25	0.4326654823
26	0.4299952088
27	0.4276346462
28	0.425180485
29	0.4228315287
30	0.4212075093
31	0.4192536051
32	0.4175424672
33	0.4148342956
34	0.412851911
35	0.4104442287
36	0.4091536641
37	0.4058020553
38	0.4034911197
39	0.4022197668
40	0.4005714334
41	0.3989684113
42	0.3970819347
43	0.3957468495
44	0.3939765527
45	0.3925874919
46	0.3912500812
47	0.3899562904
48	0.3888080612
49	0.3861297329
50	0.3850164269
51	0.3832164709
52	0.3821199722
53	0.3810601028
54	0.3798339734
55	0.3784186166
56	0.377118114
57	0.3759055556
58	0.3752257267
59	0.3738709112
60	0.3730131871
61	0.371901538
62	0.370682647
63	0.3689768801
64	0.3681879516
65	0.3676134465
66	0.3664936184
67	0.3657332055
68	0.3641180409
69	0.3632941408
70	0.3621937153
71	0.3612094479
72	0.3604964341
73	0.3596682235
74	0.3584223032
75	0.3574629606
76	0.3556421294
77	0.355232624
78	0.3542385601
79	0.352927528
80	0.3520352721
81	0.351219446
82	0.3501839392
83	0.3497078213
84	0.3486513308
85	0.3481219506
86	0.3474489453
87	0.3470844353
88	0.3466512245
89	0.3458299892
90	0.3452374866
91	0.3445809386
92	0.3441137484
93	0.3437380376
94	0.3427156662
95	0.3422099833
96	0.341503115
97	0.3407407935
98	0.339842183
99	0.3391586616
100	0.3385619296
101	0.3374293452
102	0.3365594125
103	0.3361008038
104	0.3352582858
105	0.3346452394
106	0.3341591875
107	0.3335629171
108	0.3327771603
109	0.3320070245
110	0.3314154502
111	0.3308840388
112	0.3302538776
113	0.330073554
114	0.3296641297
115	0.3286212455
