iter	Passed	Remaining
533	2681	2340
534	2686	2335
535	2691	2330
536	2696	2325
537	2701	2320
538	2706	2315
539	2712	2310
540	2717	2305
541	2722	2300
542	2726	2294
543	2731	2289
544	2736	2284
545	2742	2279
546	2747	2274
547	2752	2269
548	2757	2264
549	2762	2260
550	2767	2254
551	2772	2249
552	2777	2244
553	2781	2239
554	2786	2234
555	2791	2229
556	2796	2224
557	2802	2219
558	2806	2214
559	2811	2209
560	2816	2204
561	2821	2199
562	2826	2193
563	2831	2189
564	2836	2184
565	2841	2179
566	2847	2174
567	2851	2168
568	2856	2163
569	2861	2158
570	2866	2153
571	2871	2148
572	2876	2143
573	2881	2138
574	2886	2133
575	2891	2128
576	2896	2123
577	2901	2118
578	2906	2113
579	2911	2108
580	2916	2103
581	2921	2098
582	2926	2093
583	2931	2087
584	2936	2082
585	2940	2077
586	2945	2072
587	2950	2067
588	2955	2062
589	2960	2057
590	2965	2052
591	2971	2047
592	2976	2042
593	2981	2037
594	2986	2032
595	2991	2027
596	2996	2022
597	3001	2017
598	3006	2013
599	3012	2008
600	3017	2002
601	3022	1998
602	3027	1993
603	3032	1988
604	3037	1982
605	3042	1977
606	3047	1972
607	3052	1968
608	3057	1963
609	3062	1957
610	3067	1952
611	3072	1947
612	3077	1942
613	3082	1937
614	3087	1932
615	3092	1927
616	3097	1922
617	3101	1917
618	3106	1912
619	3112	1907
620	3117	1902
621	3122	1897
622	3127	1892
623	3132	1887
624	3137	1882
625	3142	1877
626	3147	1872
627	3152	1867
628	3157	1862
629	3162	1857
630	3167	1852
631	3172	1847
632	3177	1842
633	3182	1837
634	3187	1832
635	3192	1827
636	3197	1822
637	3202	1817
638	3207	1812
639	3212	1807
640	3217	1801
641	3222	1796
642	3227	1791
643	3232	1786
644	3237	1781
645	3242	1776
646	3247	1771
647	3252	1766
648	3258	1762
649	3263	1757
650	3268	1752
651	3272	1746
652	3277	1741
653	3283	1736
654	3288	1731
655	3293	1726
656	3298	1721
657	3302	1716
658	3307	1711
659	3312	1706
660	3318	1701
661	3323	1696
662	3327	1691
663	3332	1686
664	3337	1681
665	3342	1676
666	3347	1671
667	3352	1666
668	3357	1661
669	3362	1656
670	3367	1651
671	3372	1646
672	3377	1641
673	3383	1636
674	3388	1631
675	3393	1626
676	3398	1621
677	3403	1616
678	3408	1611
679	3413	1606
680	3418	1601
681	3423	1596
682	3428	1591
683	3433	1586
684	3438	1581
685	3443	1576
686	3448	1571
687	3453	1566
688	3458	1561
689	3463	1556
690	3468	1551
691	3473	1546
692	3478	1541
693	3483	1536
694	3488	1531
695	3493	1526
696	3498	1521
697	3504	1516
698	3509	1511
699	3514	1506
700	3519	1501
701	3524	1496
702	3529	1491
703	3535	1486
704	3540	1481
705	3545	1476
706	3549	1471
707	3554	1466
708	3559	1461
709	3564	1456
710	3569	1451
711	3574	1446
712	3579	1440
713	3584	1435
714	3589	1430
715	3594	1425
716	3599	1420
717	3604	1415
718	3609	1410
719	3614	1405
720	3619	1400
721	3624	1395
722	3629	1390
723	3634	1385
724	3639	1380
725	3644	1375
726	3649	1370
727	3655	1365
728	3660	1360
729	3665	1355
730	3670	1350
731	3675	1345
732	3680	1340
733	3685	1335
734	3689	1330
735	3695	1325
736	3700	1320
737	3705	1315
738	3710	1310
739	3714	1305
740	3719	1300
741	3725	1295
742	3730	1290
743	3735	1285
744	3740	1280
745	3745	1275
746	3750	1270
747	3755	1265
748	3760	1260
749	3765	1255
750	3770	1250
751	3774	1244
752	3780	1239
753	3784	1234
754	3790	1229
755	3794	1224
756	3800	1219
757	3805	1214
758	3810	1209
759	3815	1204
760	3820	1199
761	3825	1194
762	3830	1189
763	3835	1184
764	3840	1179
765	3845	1174
766	3850	1169
767	3855	1164
768	3860	1159
769	3865	1154
770	3870	1149
771	3875	1144
772	3881	1139
773	3886	1134
774	3891	1129
775	3896	1124
776	3901	1119
777	3906	1114
778	3911	1109
779	3916	1104
780	3921	1099
781	3926	1094
782	3931	1089
783	3936	1084
784	3941	1079
785	3946	1074
786	3951	1069
787	3956	1064
788	3961	1059
789	3966	1054
790	3971	1049
791	3976	1044
792	3981	1039
793	3986	1034
794	3990	1029
795	3995	1024
796	4000	1019
797	4005	1013
798	4010	1008
799	4015	1003
800	4020	998
801	4025	993
802	4031	989
803	4036	984
804	4041	978
805	4046	973
806	4051	968
807	4056	964
808	4062	959
809	4067	954
810	4072	948
811	4077	944
812	4082	939
813	4087	934
814	4092	928
815	4097	924
816	4103	919
817	4108	914
818	4113	909
819	4118	904
820	4124	899
821	4129	894
822	4134	889
823	4138	884
824	4143	878
825	4148	873
826	4153	868
827	4158	863
828	4164	858
829	4168	853
830	4174	848
831	4179	843
832	4184	838
833	4189	833
834	4194	828
835	4199	823
836	4206	819
837	4211	814
838	4216	809
839	4221	804
840	4226	799
841	4231	794
842	4236	789
843	4241	784
844	4246	778
845	4251	773
846	4256	768
847	4261	763
848	4266	758
849	4271	753
850	4276	748
851	4281	743
852	4286	738
853	4291	733
854	4296	728
855	4302	723
856	4307	718
857	4312	713
858	4317	708
859	4322	703
860	4327	698
861	4332	693
862	4337	688
863	4342	683
864	4348	678
865	4353	673
866	4358	668
867	4363	663
868	4368	658
869	4373	653
870	4378	648
871	4383	643
872	4389	638
873	4393	633
874	4398	628
875	4404	623
876	4409	618
877	4414	613
878	4419	608
879	4424	603
880	4429	598
881	4435	593
882	4440	588
883	4445	583
884	4450	578
885	4455	573
886	4460	568
887	4465	563
888	4470	558
889	4475	553
890	4480	548
891	4485	543
892	4490	538
893	4495	532
894	4500	527
895	4505	522
896	4510	517
897	4515	512
898	4519	507
899	4524	502
900	4529	497
901	4534	492
902	4539	487
903	4544	482
904	4549	477
905	4554	472
906	4559	467
907	4564	462
908	4569	457
909	4574	452
910	4579	447
911	4584	442
912	4589	437
913	4595	432
914	4600	427
915	4605	422
916	4610	417
917	4615	412
918	4620	407
919	4625	402
920	4630	397
921	4635	392
922	4640	387
923	4645	382
924	4650	377
925	4655	372
926	4660	367
927	4665	361
928	4670	356
929	4675	351
930	4680	346
931	4685	341
932	4690	336
933	4696	331
934	4701	326
935	4706	321
936	4711	316
937	4716	311
938	4725	306
939	4730	301
940	4736	296
941	4741	291
942	4746	286
943	4751	281
944	4756	276
945	4761	271
946	4766	266
947	4771	261
948	4776	256
949	4781	251
950	4786	246
951	4791	241
952	4797	236
953	4802	231
954	4807	226
955	4812	221
956	4817	216
957	4822	211
958	4827	206
959	4832	201
960	4837	196
961	4842	191
962	4847	186
963	4853	181
964	4858	176
965	4863	171
966	4868	166
967	4873	161
968	4878	156
969	4884	151
970	4889	146
971	4894	140
972	4899	135
973	4904	130
974	4909	125
975	4914	120
976	4920	115
977	4925	110
978	4930	105
979	4935	100
980	4940	95
981	4945	90
982	4950	85
983	4955	80
984	4960	75
985	4965	70
986	4970	65
987	4975	60
988	4980	55
989	4985	50
990	4991	45
991	4996	40
992	5001	35
993	5006	30
994	5011	25
995	5016	20
996	5021	15
997	5026	10
998	5031	5
999	5036	0
